,ID,age,sex,sex_4_TEXT,sexualorientation,race,religion,religiosity_1,care,equality,proportionality,authority,loyalty,purity,extraversion,sociability,agreeableness,energy level,compassion,respectfulness,trust,conscientiousness,organization,productiveness,responsibility,negative emotionality,anxiety,depression,emotional volatility,open-mindedness,aesthetic sensitivity,intellectual curiosity,creative imagination,tightness,collectivism,individualism,con_abortion,con_military,con_religion,con_marriage,con_traditional,con_family,con_patriotism,social_conservatism,con_limited_government,con_welfare,con_gun,con_fiscal,con_business,economical_conservatism
0,0,30,Woman,,heterosexual (straight),Middle Eastern or North African,Nonreligious,0,3.0,2.6666666666666665,2.6666666666666665,1.5,0.5,0.5,2.1666666666666665,3.0,3.1666666666666665,1.5,3.5,3.0,3.0,2.1666666666666665,2.5,2.0,2.0,2.1666666666666665,2.0,2.0,2.5,2.1666666666666665,2.5,2.0,2.0,2.833333333333333,1.1666666666666667,2.6666666666666665,68,8,0,2,32,18,10,80.28571428571429,32,86,6,34,36,61.2
1,1,21,Man,,heterosexual (straight),White or European American,Judaism,4,1.6666666666666667,2.0,3.6666666666666665,1.1666666666666667,0.5,0.0,2.333333333333333,1.5,1.6666666666666667,4.0,0.5,2.0,2.5,3.0,2.5,4.0,2.5,2.5,2.5,3.0,2.0,1.6666666666666667,1.5,2.0,1.5,2.833333333333333,2.6666666666666665,2.0,100,0,17,50,15,50,20,64.0,35,100,5,75,70,43.0
2,2,21,Woman,,heterosexual (straight),Asian or Asian American,Nonreligious,0,3.8333333333333335,2.5,2.1666666666666665,2.1666666666666665,1.5,0.8333333333333334,1.8333333333333333,2.0,2.5,2.0,2.0,3.0,2.5,2.6666666666666665,2.0,3.5,2.5,2.5,3.0,2.5,2.0,2.0,3.0,1.0,2.0,4.166666666666667,1.5,3.1666666666666665,100,13,0,36,31,77,28,59.285714285714285,49,88,0,64,71,45.6
3,3,18,Woman,,heterosexual (straight),"White or European American,Asian or Asian American",Nonreligious,3,3.5,2.5,2.5,1.6666666666666667,1.5,0.1666666666666666,2.0,2.0,2.5,2.5,2.0,3.5,2.0,2.6666666666666665,2.0,2.0,4.0,2.1666666666666665,2.5,2.5,1.5,1.8333333333333333,2.5,1.5,1.5,3.0,3.6666666666666665,2.6666666666666665,95,12,42,0,5,40,30,68.0,11,75,5,50,50,61.8
4,4,20,Woman,,heterosexual (straight),White or European American,Nonreligious,3,4.0,3.0,2.833333333333333,3.0,2.0,2.333333333333333,2.5,3.0,1.8333333333333333,2.0,2.0,2.0,1.5,2.0,2.0,2.0,2.0,2.833333333333333,4.0,2.5,2.0,1.8333333333333333,2.0,1.5,2.0,3.5,3.1666666666666665,3.1666666666666665,50,70,50,50,50,100,50,40.0,40,90,50,50,70,40.0
5,5,21,Woman,,heterosexual (straight),White or European American,Christianity,3,3.8333333333333335,1.1666666666666667,1.8333333333333333,1.5,1.8333333333333333,0.3333333333333333,2.0,2.5,2.0,1.5,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.5,2.0,1.5,2.1666666666666665,2.5,2.0,2.0,3.5,2.6666666666666665,2.0,100,81,76,94,78,91,71,15.571428571428571,84,77,27,70,69,34.6
6,6,19,Man,,heterosexual (straight),"Black or African American,Hispanic or Latino/Latinx",Nonreligious,0,2.833333333333333,1.1666666666666667,2.833333333333333,1.3333333333333333,0.5,0.5,2.5,2.5,2.6666666666666665,2.5,3.0,2.5,2.5,2.5,2.5,2.0,3.0,2.5,3.0,2.5,2.0,2.833333333333333,4.0,2.0,2.5,3.6666666666666665,2.0,3.6666666666666665,60,49,10,50,20,70,21,60.0,30,90,70,50,70,38.0
7,7,20,Woman,,heterosexual (straight),Asian or Asian American,Christianity,3,3.6666666666666665,2.333333333333333,3.333333333333333,4.0,2.6666666666666665,0.8333333333333334,2.0,2.5,2.0,1.5,2.0,2.0,2.0,2.1666666666666665,2.0,2.0,2.5,2.333333333333333,3.0,1.5,2.5,1.5,1.5,1.5,1.5,3.8333333333333335,3.0,1.8333333333333333,100,71,73,63,67,100,60,23.714285714285715,72,72,0,82,83,38.2
8,8,21,Man,,heterosexual (straight),White or European American,Nonreligious,7,2.333333333333333,0.8333333333333334,2.833333333333333,1.1666666666666667,0.3333333333333333,0.8333333333333334,1.5,2.0,2.6666666666666665,2.0,1.0,3.5,3.5,1.8333333333333333,2.0,2.0,1.5,2.0,2.0,2.0,2.0,2.0,2.5,2.0,1.5,2.833333333333333,1.1666666666666667,2.833333333333333,51,50,50,50,30,50,30,55.57142857142857,50,50,50,80,50,44.0
9,9,21,Woman,,heterosexual (straight),Asian or Asian American,Christianity,3,3.5,2.0,2.333333333333333,1.0,1.0,0.6666666666666666,2.1666666666666665,2.5,2.1666666666666665,1.5,2.5,2.0,2.0,2.1666666666666665,1.5,2.5,2.5,2.333333333333333,2.0,3.0,2.0,2.333333333333333,3.0,2.0,2.0,2.833333333333333,2.1666666666666665,2.833333333333333,100,40,50,0,0,50,0,65.71428571428571,25,100,0,100,40,47.0
10,10,18,Woman,,heterosexual (straight),Middle Eastern or North African,Not listed:,4,1.8333333333333333,1.3333333333333333,2.833333333333333,1.0,0.6666666666666666,0.8333333333333334,2.333333333333333,2.5,2.0,2.5,2.0,2.0,2.0,2.5,2.0,2.0,3.5,3.0,3.5,3.0,2.5,2.6666666666666665,2.5,3.5,2.0,3.1666666666666665,2.0,3.1666666666666665,90,35,35,30,35,40,20,59.285714285714285,60,65,10,60,60,49.0
11,11,21,Woman,,heterosexual (straight),Asian or Asian American,Nonreligious,2,2.5,0.6666666666666666,2.5,1.3333333333333333,1.8333333333333333,0.8333333333333334,2.1666666666666665,2.0,1.8333333333333333,3.0,2.0,2.0,1.5,2.0,2.0,2.0,2.0,2.6666666666666665,3.0,1.5,3.5,2.0,2.0,2.0,2.0,4.0,3.6666666666666665,3.1666666666666665,92,83,50,50,50,69,50,36.57142857142857,82,91,50,50,50,35.4
12,12,20,Woman,,heterosexual (straight),Asian or Asian American,Nonreligious,0,3.1666666666666665,2.5,2.0,1.1666666666666667,1.5,1.1666666666666667,2.333333333333333,3.0,1.8333333333333333,2.0,2.5,1.5,1.5,2.1666666666666665,2.0,2.5,2.0,2.5,3.0,2.5,2.0,2.0,2.0,2.0,2.0,3.1666666666666665,2.6666666666666665,2.5,100,30,30,20,25,73,20,57.42857142857143,50,80,0,65,50,51.0
13,13,19 in 3 weeks,Man,,heterosexual (straight),Middle Eastern or North African,Islam,5,2.5,1.3333333333333333,2.1666666666666665,3.1666666666666665,3.0,2.333333333333333,2.5,2.5,2.1666666666666665,2.5,1.5,2.5,2.5,1.6666666666666667,1.0,2.0,2.0,2.0,2.0,2.0,2.0,1.6666666666666667,2.5,1.0,1.5,2.1666666666666665,3.1666666666666665,2.1666666666666665,70,86,97,71,93,87,93,14.714285714285714,50,83,0,71,77,43.8
14,14,18,Woman,,heterosexual (straight),"Black or African American,Asian or Asian American",Nonreligious,0,3.5,1.3333333333333333,3.333333333333333,1.0,1.6666666666666667,0.8333333333333334,3.0,3.5,2.1666666666666665,3.0,2.0,2.0,2.5,3.0,2.0,3.5,3.5,2.0,2.0,2.0,2.0,2.5,3.5,2.0,2.0,3.8333333333333335,3.1666666666666665,2.6666666666666665,100,75,10,50,30,60,50,46.42857142857143,100,100,15,97,100,17.6
15,15,19,Man,,heterosexual (straight),Asian or Asian American,Nonreligious,0,3.333333333333333,1.1666666666666667,2.6666666666666665,1.6666666666666667,1.6666666666666667,0.6666666666666666,2.0,3.0,2.333333333333333,1.0,2.5,2.5,2.0,2.0,2.0,2.0,2.0,2.833333333333333,3.0,3.0,2.5,2.5,3.0,2.5,2.0,3.333333333333333,3.1666666666666665,2.833333333333333,89,41,45,21,43,74,62,46.42857142857143,51,55,7,87,62,47.6
16,16,18,Man,,homosexual (gay/lesbian),Asian or Asian American,Christianity,8,4.0,1.6666666666666667,3.6666666666666665,2.833333333333333,2.1666666666666665,2.5,3.0,3.5,2.1666666666666665,3.5,1.5,2.5,2.5,3.333333333333333,2.5,3.5,4.0,2.6666666666666665,3.0,3.0,2.0,2.1666666666666665,2.5,2.0,2.0,4.0,3.6666666666666665,3.1666666666666665,80,50,50,10,40,60,50,51.42857142857143,90,70,50,60,50,36.0
17,17,23,Man,,bisexual,"White or European American,Black or African American,American Indian or Alaska Native",Nonreligious,3,4.0,4.0,0.6666666666666666,4.0,1.6666666666666667,1.3333333333333333,2.6666666666666665,4.0,2.6666666666666665,2.0,2.0,4.0,2.0,3.333333333333333,2.0,4.0,4.0,3.333333333333333,4.0,4.0,2.0,2.0,2.0,2.0,2.0,3.333333333333333,1.3333333333333333,4.0,100,10,0,0,50,100,10,61.42857142857143,50,100,0,20,0,66.0
18,18,18,Man,,heterosexual (straight),"White or European American,Middle Eastern or North African",Nonreligious,0,3.5,0.5,2.6666666666666665,2.1666666666666665,0.6666666666666666,0.1666666666666666,1.8333333333333333,2.0,2.5,1.5,2.0,3.0,2.5,2.0,1.5,2.5,2.0,2.0,3.0,1.0,2.0,2.333333333333333,3.0,2.0,2.0,3.8333333333333335,0.8333333333333334,1.5,82,69,0,60,60,58,38,47.57142857142857,32,80,50,60,65,42.6
19,19,21,Man,,heterosexual (straight),Asian or Asian American,Nonreligious,1,3.8333333333333335,1.5,1.6666666666666667,0.6666666666666666,1.1666666666666667,0.0,1.6666666666666667,1.0,2.833333333333333,2.0,2.5,3.0,3.0,2.333333333333333,1.0,3.0,3.0,2.5,2.5,3.0,2.0,2.333333333333333,2.5,2.5,2.0,1.1666666666666667,2.333333333333333,2.833333333333333,95,1,49,45,31,85,4,55.71428571428572,27,89,37,60,38,49.8
20,20,18,Woman,,heterosexual (straight),Asian or Asian American,Hinduism,3,3.333333333333333,1.6666666666666667,2.0,2.0,1.8333333333333333,0.6666666666666666,2.0,2.0,2.1666666666666665,2.5,2.5,3.0,1.0,2.833333333333333,2.0,3.5,3.0,3.333333333333333,3.5,3.5,3.0,2.1666666666666665,3.5,1.5,1.5,1.5,2.6666666666666665,3.0,71,26,70,62,30,55,58,46.85714285714285,42,91,0,69,60,47.6
21,21,20,Woman,,heterosexual (straight),Asian or Asian American,Nonreligious,2,1.6666666666666667,1.0,1.8333333333333333,2.0,2.0,0.3333333333333333,2.5,3.0,2.333333333333333,2.5,3.0,2.0,2.0,2.5,2.0,3.0,2.5,2.0,2.0,1.5,2.5,2.333333333333333,2.5,2.5,2.0,2.333333333333333,1.8333333333333333,2.1666666666666665,50,70,50,39,50,50,50,48.71428571428572,38,62,11,50,50,57.8
22,22,18,Non-binary / third gender,,bisexual,Black or African American,Nonreligious,3,2.6666666666666665,2.333333333333333,2.1666666666666665,1.0,0.6666666666666666,1.0,2.333333333333333,2.5,2.1666666666666665,2.0,3.0,2.0,1.5,2.5,3.0,2.5,2.0,2.5,2.5,3.0,2.0,2.833333333333333,3.0,4.0,1.5,3.1666666666666665,2.5,2.6666666666666665,94,26,32,55,41,42,6,57.71428571428572,50,63,33,45,43,53.2
23,23,22,Woman,,heterosexual (straight),Asian or Asian American,Not listed:,7,3.1666666666666665,0.6666666666666666,3.0,3.0,2.0,2.5,2.333333333333333,3.5,1.6666666666666667,1.5,2.0,2.5,0.5,2.0,2.0,2.0,2.0,1.8333333333333333,2.0,2.0,1.5,2.333333333333333,1.5,2.0,3.5,3.0,3.6666666666666665,2.1666666666666665,20,82,100,90,90,100,50,24.0,20,66,61,85,100,33.6
24,24,21,Man,,other,Hispanic or Latino/Latinx,Christianity,3,4.0,0.6666666666666666,2.833333333333333,1.6666666666666667,1.3333333333333333,1.0,2.333333333333333,2.5,2.0,3.5,2.0,2.0,2.0,3.1666666666666665,3.5,4.0,2.0,2.833333333333333,2.5,2.5,3.5,2.6666666666666665,3.5,2.0,2.5,3.5,2.5,2.0,90,56,26,4,45,87,12,54.285714285714285,64,90,1,70,82,38.6
