Row ID,Segment,WC,Analytic,Clout,Authentic,Tone,WPS,BigWords,Dic,Linguistic,function,pronoun,ppron,i,we,you,shehe,they,ipron,det,article,number,prep,auxverb,adverb,conj,negate,verb,adj,quantity,Drives,affiliation,achieve,power,Cognition,allnone,cogproc,insight,cause,discrep,tentat,certitude,differ,memory,Affect,tone_pos,tone_neg,emotion,emo_pos,emo_neg,emo_anx,emo_anger,emo_sad,swear,Social,socbehav,prosocial,polite,conflict,moral,comm,socrefs,family,friend,female,male,Culture,politic,ethnicity,tech,Lifestyle,leisure,home,work,money,relig,Physical,health,illness,wellness,mental,substances,sexual,food,death,need,want,acquire,lack,fulfill,fatigue,reward,risk,curiosity,allure,Perception,attention,motion,space,visual,auditory,feeling,time,focuspast,focuspresent,focusfuture,Conversation,netspeak,assent,nonflu,filler,AllPunc,Period,Comma,QMark,Exclam,Apostro,OtherP,Emoji
1,1,10,15.41,3.95,1,99,1.67,0,90,30,20,10,0,0,0,0,0,0,10,10,0,50,0,10,10,0,0,20,0,0,10,0,10,0,10,0,10,0,10,0,0,0,0,0,20,10,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,10,10,0,0,0,0,0,0,60,50,0,0,0,10,0,0
2,1,33,1.5,1,29.49,99,11,18.18,84.85,75.76,54.55,15.15,9.09,6.06,0,0,3.03,0,6.06,21.21,0,0,6.06,15.15,6.06,9.09,6.06,24.24,15.15,9.09,6.06,3.03,3.03,0,30.3,0,30.3,3.03,3.03,6.06,9.09,3.03,12.12,0,15.15,12.12,3.03,6.06,3.03,0,0,0,0,0,6.06,3.03,3.03,0,0,0,0,3.03,0,0,0,3.03,3.03,3.03,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.03,0,0,0,0,0,0,0,15.15,0,0,0,0,0,0,0,3.03,3.03,15.15,6.06,3.03,0,3.03,0,0,21.21,9.09,3.03,0,0,9.09,0,0
3,1,48,55.95,90.6,15.38,52.41,24,25,97.92,68.75,56.25,12.5,4.17,0,4.17,0,0,0,8.33,12.5,10.42,0,14.58,10.42,4.17,10.42,2.08,16.67,4.17,2.08,22.92,10.42,0,12.5,18.75,2.08,16.67,6.25,2.08,2.08,2.08,0,6.25,0,14.58,8.33,6.25,8.33,2.08,6.25,0,2.08,2.08,0,20.83,6.25,0,0,2.08,2.08,0,14.58,6.25,0,0,0,4.17,4.17,0,0,0,0,0,0,0,0,2.08,2.08,2.08,0,0,0,0,0,0,0,2.08,0,0,0,0,0,2.08,0,4.17,4.17,0,0,2.08,0,0,2.08,0,2.08,8.33,0,2.08,0,2.08,0,0,18.75,4.17,4.17,0,0,10.42,0,0
4,1,12,1,99,3.81,1,12,8.33,100,83.33,58.33,16.67,16.67,0,8.33,8.33,0,0,0,8.33,0,0,0,25,0,8.33,8.33,33.33,8.33,8.33,16.67,16.67,0,0,25,8.33,16.67,8.33,0,8.33,0,0,8.33,0,8.33,0,8.33,0,0,0,0,0,0,0,33.33,8.33,0,0,0,8.33,0,25,0,8.33,0,0,8.33,0,8.33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16.67,8.33,0,0,0,8.33,0,0,0,0,8.33,0,8.33,0,8.33,0,0,8.33,0,0,0,0,8.33,0,0
5,1,23,82.28,40.06,1,20.23,11.5,13.04,86.96,82.61,60.87,17.39,17.39,4.35,0,0,4.35,8.7,0,13.04,4.35,0,26.09,13.04,0,0,4.35,30.43,4.35,4.35,0,0,0,0,13.04,4.35,8.7,4.35,0,4.35,0,0,0,0,8.7,4.35,4.35,0,0,0,0,0,0,4.35,13.04,0,0,0,0,0,0,13.04,0,0,4.35,0,0,0,0,0,0,0,0,0,0,0,4.35,0,0,0,0,0,0,0,0,0,0,4.35,0,0,0,0,0,0,13.04,4.35,0,0,4.35,0,0,0,0,0,4.35,8.7,0,0,0,0,0,13.04,8.7,0,0,0,4.35,0,0
6,1,10,3.8,89.5,1,1,5,0,80,80,60,10,10,0,0,0,10,0,0,10,10,0,0,20,20,0,0,20,10,0,0,0,0,0,10,0,10,0,0,0,0,10,0,0,10,0,10,10,0,10,0,0,0,0,20,10,0,0,0,0,10,10,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,10,10,20,0,10,10,0,0,0,20,20,0,0,0,0,0,0
7,1,28,89.52,21.49,2.36,1,7,28.57,42.86,28.57,14.29,3.57,3.57,3.57,0,0,0,0,0,3.57,0,3.57,7.14,3.57,0,0,0,7.14,7.14,3.57,7.14,0,0,7.14,0,0,0,0,0,0,0,0,0,0,3.57,0,3.57,3.57,0,3.57,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.14,3.57,0,3.57,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.57,0,0,0,0,3.57,7.14,0,0,3.57,3.57,0,0,0,7.14,0,0,7.14,7.14,0,0,0,71.43,14.29,0,0,0,7.14,50,0
8,1,17,1,40.06,1.39,1,5.67,17.65,100,82.35,64.71,29.41,17.65,5.88,0,5.88,5.88,0,11.76,11.76,0,0,17.65,29.41,5.88,0,11.76,41.18,5.88,0,5.88,0,0,5.88,23.53,11.76,11.76,0,0,5.88,0,0,0,0,5.88,0,5.88,0,0,0,0,0,0,0,17.65,5.88,5.88,0,0,0,0,11.76,0,0,5.88,0,0,0,0,0,5.88,0,0,5.88,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.88,11.76,0,5.88,5.88,0,0,0,0,0,23.53,5.88,0,0,0,0,0,47.06,11.76,5.88,0,0,23.53,5.88,0
9,1,14,99,40.06,99,20.23,14,0,92.86,71.43,50,0,0,0,0,0,0,0,0,14.29,14.29,0,21.43,0,7.14,7.14,0,7.14,14.29,7.14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.14,7.14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14.29,50,0,0,42.86,7.14,0,0,7.14,7.14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,1,11,45.12,1,1,99,11,36.36,72.73,54.55,54.55,9.09,9.09,9.09,0,0,0,0,0,0,0,0,18.18,9.09,9.09,9.09,0,18.18,0,0,0,0,0,0,18.18,0,18.18,0,0,18.18,0,0,0,0,27.27,18.18,0,18.18,18.18,0,0,0,0,9.09,9.09,9.09,0,0,0,0,9.09,0,0,0,0,0,0,0,0,0,9.09,0,0,9.09,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36.36,0,0,0,0,0,36.36,0
11,1,33,45.12,40.06,13.81,1,16.5,33.33,72.73,42.42,21.21,6.06,0,0,0,0,0,0,6.06,3.03,0,6.06,3.03,9.09,6.06,0,0,12.12,9.09,0,9.09,0,0,9.09,6.06,0,6.06,3.03,0,0,0,3.03,0,0,9.09,0,9.09,6.06,0,6.06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15.15,9.09,3.03,3.03,0,0,0,0,0,0,6.06,3.03,0,0,0,0,0,0,0,0,0,0,0,0,3.03,0,0,0,0,9.09,3.03,0,6.06,0,0,0,3.03,6.06,6.06,0,9.09,9.09,0,0,0,87.88,9.09,3.03,3.03,0,3.03,69.7,0
