ValuesSurvey,BehaviorsSurvey,CARE_tot,EQUALITY_tot,PROPORTIONALITY_tot,LOYALTY_tot,AUTHORITY_tot,PURITY_tot,Individualism_tot,Collectivism_tot,PVQ_SD_tot,PVQ_PO_tot,PVQ_UN_tot,PVQ_AC_tot,PVQ_SE_tot,PVQ_ST_tot,PVQ_CO_tot,PVQ_TR_tot,PVQ_HE_tot,PVQ_BE_tot,Religiosity_tot,NFC_tot,conservatism_tot,Tightness,sex,age,religion,first_language,race,education,ResponseId,Individualism_sim_item_1,Individualism_sim_item_2,Individualism_sim_item_3,Individualism_sim_item_4,Individualism_sim_item_5,Individualism_sim_item_6,Collectivism _sim_item_1,Collectivism _sim_item_2,Collectivism _sim_item_3,Collectivism _sim_item_4,Collectivism _sim_item_5,Collectivism _sim_item_6,Religiosity_sim_item_1,Religiosity_sim_item_2,Religiosity_sim_item_3,Religiosity_sim_item_4,Religiosity_sim_item_5,Conservatism_secs_sim_item_1,Conservatism_secs_sim_item_2,Conservatism_secs_sim_item_3,Conservatism_secs_sim_item_4,Conservatism_secs_sim_item_5,Conservatism_secs_sim_item_6,Conservatism_secs_sim_item_7,Conservatism_secs_sim_item_8,Conservatism_secs_sim_item_9,Conservatism_secs_sim_item_10,Conservatism_secs_sim_item_11,Conservatism_secs_sim_item_12,NFC_sim_item_1,NFC_sim_item_2,NFC_sim_item_3,NFC_sim_item_4,NFC_sim_item_5,NFC_sim_item_6,Tightness_sim_item_1,Tightness_sim_item_2,Tightness_sim_item_3,Tightness_sim_item_4,Tightness_sim_item_5,Tightness_sim_item_6,SD_sim_item_1,SD_sim_item_2,PO_sim_item_1,PO_sim_item_2,UN_sim_item_1,UN_sim_item_2,UN_sim_item_3,AC_sim_item_1,AC_sim_item_2,SE_sim_item_1,SE_sim_item_2,ST_sim_item_1,ST_sim_item_2,CO_sim_item_1,CO_sim_item_2,TR_sim_item_1,TR_sim_item_2,HE_sim_item_1,HE_sim_item_2,BE_sim_item_1,BE_sim_item_2,care_sim_item_1,care_sim_item_2,care_sim_item_3,care_sim_item_4,care_sim_item_5,care_sim_item_6,equality_sim_item_1,equality_sim_item_2,equality_sim_item_3,equality_sim_item_4,equality_sim_item_5,equality_sim_item_6,proportionality_sim_item_1,proportionality_sim_item_2,proportionality_sim_item_3,proportionality_sim_item_4,proportionality_sim_item_5,proportionality_sim_item_6,loyalty_sim_item_1,loyalty_sim_item_2,loyalty_sim_item_3,loyalty_sim_item_4,loyalty_sim_item_5,loyalty_sim_item_6,authority_sim_item_1,authority_sim_item_2,authority_sim_item_3,authority_sim_item_4,authority_sim_item_5,authority_sim_item_6,purity_sim_item_1,purity_sim_item_2,purity_sim_item_3,purity_sim_item_4,purity_sim_item_5,purity_sim_item_6
"My most important value is gotta be money, which guided me through each day's sex films.  On off-days, I get to utilize my money to buy all types of luxury items that I wanted, from jewelry to exotic clothing.  I could get certain handsome men to bed when I wanted as I am usually their idol.  With money, my pleasure can be served at highest, even better than the orgasm that I enjoyed while having my legs dangle in the air as I was being penetrated by these men.  Money is always power and safety as in value for me.","The past 7 days have been the same for me daily, as I wake up I get dressed in lingerie corset and high heels.  I then started my work as one of the best porn star in the state, and the whole day is just filming me doing sex with different people with different sex positions.
Ever other days I would cosplay to be different role either as a nurse, a teacher, or a prisoner.  It all plays out that I get topped by men and my clothing sometimes get ripped off of me.",3.0,2.833333333333333,2.0,2.6666666666666665,2.6666666666666665,2.833333333333333,3.333333333333333,3.1666666666666665,3.5,4.5,3.6666666666666665,3.0,3.5,3.5,2.5,4.0,3.0,4.0,10,2.333333333333333,3.0,3.5,1,27,6,English,1,2,R_1KkkZfhTa4CERDM,0.099559166,0.11346711,0.16211535,0.19113024,0.21643583,0.18841605,0.08045032,0.04610855,0.18924806,0.04746408,0.07737819,0.13231665,0.21221814,0.229332,0.11209606,0.1422245,0.10920698,0.049751487,-0.019289147,0.039377037,0.030921387,0.025379863,0.02595966,0.07114022,0.09032729,-0.018533133,0.10296915,-0.037934646,0.023570675,0.021792665,0.12303455,0.14611097,0.06507469,0.12597546,0.02509379,0.05803506,0.089151174,0.11998457,0.075617105,0.10572325,0.11863561,0.15981773,0.16368288,0.10997996,0.12430631,0.09854001,0.12131907,0.00776615,0.19515896,0.14201939,0.10937542,0.08364733,0.2016314,0.17943369,0.14958613,0.25264907,0.16366263,0.28714204,0.23459405,0.1962803,0.10045068,0.15022466,-0.04116083,-0.0666651,-0.04200697,0.039099358,0.03597394,0.09614247,0.06250781,0.07513275,0.10422457,0.105856135,0.13810262,0.06442413,0.09127816,0.10774426,0.08757027,0.13191922,0.15143749,0.22248329,-0.049871102,-0.016138863,-7.9525635e-05,-0.0071534086,0.043579284,-0.022998797,0.0739476,0.20197128,-0.0067096837,0.049968164,0.001148982,0.04538203,0.056749407,0.1739707,0.0040865922,0.25952467,0.047430567,0.11618847
I think the most central and important values in my life are working hard and being consistent. I think that in my values I work hard to take care of my daughter and am committed to my family. These values have always been important to me. From a young age I learned that working hard is something that allows me to get ahead and achieve the goals I set out for myself. I think being consistent is the only way you make lifelong progress.  I use these to make difficult decisions because they give me the confidence to know I can make either decision and still come out ahead. I use these with my family to take care of them.,"In the past seven days I have gotten up and gotten my daughter ready for the day. I change her and get her dressed. We then eat breakfast together. Then I allow her to play on her own while I work. Some days I go to work so I drop her off at my moms. When I don't work we usually have an outing in the morning, we go shopping or to the park. Then we come home, eat lunch, and she watches her show while I work online. Then I put her down for her nap and work online some more. THen I get her up. If i'm working that day I pick her up. Then we play outside for a bit, then come inside and make dinner. We generally eat then take a bath. Then I read to her and she goes to sleep. Then I work online then hang out with my husband. Our outings this week consisted of going to a farm and the mall.",4.0,2.6666666666666665,3.1666666666666665,2.6666666666666665,2.0,2.0,3.6666666666666665,3.1666666666666665,5.0,4.5,5.0,5.0,4.5,4.0,4.0,4.5,3.5,5.0,11,3.333333333333333,4.0,3.6666666666666665,1,28,1,English,1,5,R_3rZBUUbOF4Zw4Xj,-0.027154144,-0.027022498,0.16231447,0.03675873,-0.011998422,0.07748857,-0.011338408,-0.07044727,0.006020858,0.008141026,-0.12894997,0.021491054,0.095415995,0.19086197,0.04008659,0.035170436,0.0007584626,-0.021867707,-0.09789255,-0.022592358,-0.01967195,-0.041178524,-0.013662865,0.13590248,0.014276031,-0.0032923287,0.03592261,0.038048342,-0.012533458,-0.056773864,0.059547007,0.1357764,0.026905943,0.038909346,0.027802935,-0.050471026,-0.009837957,0.032999977,-0.049055137,-0.07100734,-0.026663419,0.16618618,0.099797934,-0.0134090185,0.025264362,-0.07649031,-0.046660375,-0.01660052,-0.0024607927,0.04600413,0.015794452,-0.08400258,0.09941115,0.13637966,0.09265986,0.08531286,-0.0036995998,0.04478747,0.20235634,0.07816077,0.021330718,0.08309224,-0.10511351,-0.09869834,-0.08293981,-0.08474048,-0.07727805,-0.0077981353,0.0142147215,-0.07809836,0.022909002,-0.02357806,0.023261597,-0.033301316,-0.050311558,-0.047559883,-0.03465838,-0.096095875,-0.036371257,0.12083617,0.051586702,-0.12098374,-0.066441074,-0.02437104,-0.062272143,-0.050093308,-0.051837258,0.07187818,0.09892252,0.0354169,0.0036345012,-0.03926426,-0.089387655,-0.03644151,-0.111383446,-0.037949163,-0.13044274,0.02410477
"thoughts and feelings about your basic values. You might think about the types of guiding principles that you use to make difficult decisions.
that is one.",Last seven days i have completed a lot of task in my work and a lot of home think.,3.0,3.0,3.1666666666666665,3.1666666666666665,2.333333333333333,3.0,4.333333333333333,4.0,4.0,4.5,4.0,4.0,4.5,5.0,4.5,4.5,4.0,4.5,18,3.333333333333333,3.5,3.6666666666666665,2,40,1,English,2,5,R_tLOxEKwjCfxLbPP,0.14200218,0.17439732,0.22827475,0.19078195,0.14164382,0.10454284,0.12734315,0.11707196,0.20685272,0.1375337,0.04129163,0.22986037,0.15372309,0.3384203,0.15861298,0.21895328,0.19289252,0.07124455,0.08102369,0.053262156,0.12302603,0.01992574,-0.020223387,0.038335484,0.022478307,0.09852167,0.20324665,-0.016518608,0.09376082,0.2302927,0.3064285,0.33831483,0.34709564,0.4061734,0.40879184,-0.008429952,0.06978855,-0.06387223,-0.036052912,-0.0814707,-0.045603596,0.45822206,0.15216939,0.21717483,0.16325703,-0.0053203423,0.19002846,0.06696546,0.29611,0.3033955,0.13742155,0.15555821,0.19845742,0.29949123,0.08184655,0.29245877,0.15831634,0.15600349,0.29292035,0.2895593,0.19945218,0.12525998,0.0982102,0.04314879,0.01802808,0.13598584,0.10161587,0.09089126,0.04655687,0.019891458,0.111707106,0.0025551291,0.09283371,0.058160875,0.14139512,0.07528186,0.11430808,0.089615,0.08404264,0.1781168,-0.04147114,0.0110649,0.043097675,-0.0149078015,0.08227165,-0.09039196,0.022995068,0.1284191,-0.007733142,0.1549121,-0.050223827,0.07788508,-0.028448975,0.024933971,-0.05491627,-0.026445743,0.031101868,0.07099885
"Family is an important value. I spend a lot of time at home with them. I also value improving myself when I have the time, including picking up new skills, trying new activities and food. Kindness is also very important to me. I like to make sure other people are happy whenever possible.","I started reading the book Persuasion. I continued reading Anna Karenina but had to return it to the library. I hung out with my niece. I bought bubble tea. I assembled a fan. I bought a Swiffer to clean the house. I used the Swiffer. I scheduled an important exam. I studied for an exam for a few hours.  I went to see Central Park, Times Square, Rockefeller Center, and Bryant Park. I saw Lion King the Musical on Broadway for the first time. I switched some classes around for the next few months.",4.0,3.0,2.1666666666666665,2.6666666666666665,2.833333333333333,1.6666666666666667,3.1666666666666665,3.6666666666666665,4.0,3.5,5.0,3.0,5.0,4.0,4.5,5.0,4.0,5.0,19,3.1666666666666665,3.0,3.6666666666666665,1,25,1,Malayalam,3,5,R_diLMFqG4y4S1I9X,0.20388487,0.20047231,0.2385749,0.1511957,0.1790823,0.20178309,0.23430134,0.27049035,0.29425,0.15147844,0.15386209,0.2788432,0.19403327,0.28725564,0.20932761,0.25272018,0.22516045,0.13422377,0.062409326,0.020796228,0.16571665,0.042062372,0.045396075,0.117004536,0.13387738,0.07466863,0.19958146,0.09538634,0.13321455,0.18146974,0.3056845,0.16696468,0.2387628,0.25070292,0.16960281,0.052052442,0.14744866,0.03411731,0.04008402,0.027936315,0.050443564,0.35463756,0.2717946,0.22128022,0.20460111,0.055003606,0.3279732,0.05272897,0.31613737,0.24088416,0.13563688,0.112125106,0.32745683,0.27267188,0.20208976,0.27984208,0.24861184,0.2964937,0.3265933,0.23420872,0.25458825,0.16965103,0.071346626,0.057189815,0.062455583,0.21669534,0.11532654,0.13378553,0.02572473,-0.04905376,0.08046095,0.045594405,0.10223738,0.07471958,0.04016035,0.036597293,0.07360221,0.15346563,0.079054475,0.1406479,0.010889856,0.028038066,0.084103175,0.004430175,0.04969257,-0.017639287,0.059540533,0.22278103,0.09991013,0.17388275,0.12759931,0.04095546,-0.06075532,0.053283505,0.016774148,0.02520115,0.055470154,0.11179556
my partner is best in my life to come. I live very happy and more perfect reason for a my life. So cool in my life.,my friend is come my home and to share many information. So this is a best moment in this week. next my partner to give the gift and recall the information. To happy to work it. To go the shops and to buy a many things and to by for a chirstmas.,3.8333333333333335,3.5,3.5,3.1666666666666665,3.5,2.6666666666666665,4.0,4.833333333333333,5.0,5.5,5.666666666666668,6.0,5.0,6.0,2.5,6.0,4.5,3.5,16,3.8333333333333335,7.0,4.333333333333333,2,41,1,English,1,5,R_1N36QScxNcI6LHo,0.09270719,0.12866962,0.13075651,0.04674387,0.031998992,0.08193005,0.094192185,0.21276867,0.12873481,0.17271128,0.016373118,0.20214273,0.21655785,0.2645711,0.13756065,0.017325066,0.052020833,0.033894252,-0.040510543,0.03505779,0.11910772,0.11877177,0.05772063,0.17983821,0.07065054,0.09822594,0.2118812,0.104555055,-0.016236143,-0.007035177,0.20954381,0.036276333,0.093535155,0.2309898,0.1043572,-0.007775817,0.1095995,0.018153269,0.0069159223,-0.07466398,0.019635713,0.24819899,0.10296012,0.24473608,0.2260513,0.049443018,0.11782122,0.07211955,0.23740013,0.21615031,0.13591658,0.11876362,0.46590796,0.22326678,0.084846504,0.15157439,0.25325894,0.1601345,0.34535193,0.27430877,0.25612456,0.15253127,0.13027646,0.0806439,0.054085962,0.117611125,0.10695468,0.05897872,0.060715538,0.014708603,0.14071468,0.10135627,0.19023056,0.07346378,0.030313315,0.11395601,0.06052818,0.20684731,-0.00997071,0.103995524,-0.06497917,0.010017557,0.068672016,-0.04706485,0.14493954,-0.054404575,0.08790123,0.21856466,0.039094597,0.122032404,0.017122218,0.010833539,0.021866294,0.12250043,-0.019747855,0.061384697,-0.049430974,0.14373927
"Avoid a black and white world view. Understand that life is shades of grey, and everyone has a reason for their actions. If someone or something tries to explain a person or event in completely black and white terms and tells you ""That's the entire story!"", be suspicious.

Strive for positivity. In today's world it's extremely easy to get mired in negativity and snark. It's not healthy; find the good in life and focus on that, bring up a smile, and try to spread that positivity around. Negativity has never helped anyone.

Honor your commitments, and be honest in all dealings. Pretty straightforward.

Stay curious. Don't simply accept things at face value; not sure what's going on with an event? Research it! See something interesting? Look into it! One of the great joys of living in this time period is access to information and knowledge.

Treat others as you'd like to be treated. This one is basically straight out of the Bible, and really doesn't need much explanation. Treat others with kindness whenever possible.

Realize that you don't have the answers, but strive for knowledge.

","'-Learning to cook. REALLY LEARN. Bake bread every day. Tweak your recipe until it becomes FANTASTIC. Make yourself a hot breakfast every morning. 
-Drawing for 10 minutes/day. There are some good internet tutorials. ---Learning to write with your non-dominant hand.
-Starting a blog. Write for 1 hour/week. Or 20 minutes/day.
-Practicing public speaking. Toastmasters has great resources online. Just grab an empty room in the library and videotape yourself. 
-Learning a language - others gave some online resources for this.
-Basic programming - codeacademy and many others available to teach you online. Even if you just spend 2 hours/weekday coding, this will really set you ahead in future opportunities/jobs.
-Exercising and jogging, did this most recently today morning. I could write for hours on exercise. Take dance lessons, or go to the salsa club with free ones. I don't care what kind of dance - ballet/modern/ballroom/whatever. The key here is regular practice. When you're good, your coordination and confidence will show in everything you do.",3.6666666666666665,3.5,3.5,3.333333333333333,3.333333333333333,3.5,3.8333333333333335,3.8333333333333335,4.0,4.5,3.6666666666666665,3.5,4.0,4.0,3.5,4.0,3.5,4.0,20,4.0,2.5,4.0,2,25,1,English,3,5,R_3CNNGm8ALAvSZWy,-0.061332095,0.08356053,0.16930062,0.010204691,-0.016412701,0.104445025,-0.097926594,-0.105526574,0.02239239,0.048621606,0.010602277,0.14636353,0.021260615,0.15549289,-0.0041619074,0.080113135,0.053015992,-0.0797477,-0.024932329,0.062061287,-0.02296327,-0.09782265,-0.031606168,0.07007014,-0.0065106507,-0.06700846,0.044508327,-0.09685448,-0.010999071,0.10720908,0.10363191,0.13520014,0.19568777,0.14875469,0.25375193,-0.06586419,-0.008714535,-0.08119658,-0.036470696,-0.14558208,-0.09431282,0.3373486,0.041729804,0.17915502,-0.0098594,-0.133346,-0.017932404,-0.062104877,0.19913243,0.17751905,0.033101857,-0.05099286,0.098306365,0.39551258,-0.0031158216,0.055070505,0.01175959,0.042804614,0.12134858,0.10960545,0.0884455,0.009702767,-0.0763846,-0.103781454,-0.114218,-0.10356686,-0.12798598,-0.15064807,-0.010506552,-0.07156153,-0.024845831,-0.0244329,-0.04846986,-0.09156985,-0.049108528,-0.12860191,-0.03883047,-0.1301943,-0.065308616,-0.0075628124,-0.040725484,-0.11180626,-0.03925044,-0.016265055,-0.062553585,-0.11509925,-0.09595981,0.04242888,-0.081783175,0.088042945,-0.024139252,-0.009178821,-0.1689159,-0.1050312,-0.08351979,-0.16866618,-0.11104909,-0.093691334
"My basic values is to be true to myself. I want to  be a good person and behave in a good way. I want others to think highly of me. I am mindful and want to do good in the world. When making decisions, I want to do what is right and will impact others negatively the least. When I interact with others I am polite and I listen. If someone does not like me then I am still nice to them.","Last week was pretty normal for me. I got up on day 1 and drank coffee. I went to my computer and worked for 10 hours. I had lunch and dinner. Day 2 was the same. Day 3 I had a medical appointment and found out some bad news. Day 4 I woke up and played games with the family. I ate lunch but no breakfast.  Day 5 I stayed in bed all day and watched TV. My husband brought me my meals in bed. Day 6 was the same as day 5. Day seven, I woke up and started doing surveys while my husband cooked me breakfast.",4.666666666666667,2.333333333333333,4.833333333333333,3.8333333333333335,4.333333333333333,1.5,3.6666666666666665,3.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,3.5,6.0,6.0,12,3.0,2.0,3.8333333333333335,1,49,6,English,1,6,R_2aWAMuVlidGQZqr,0.0022749677,-0.05669517,-0.0041241683,0.009709217,0.009479811,0.12727137,-0.03785465,-0.029269034,0.010430872,0.040856354,-0.082050055,-0.035949476,0.17419627,0.19891952,0.07192432,0.009933282,-0.042730384,-0.045841828,-0.054750882,-0.03896656,-0.037658125,0.012309002,-0.10495004,0.10110744,-0.0029056706,-0.038565308,0.03220659,0.021745622,-0.069590785,0.05033171,0.0041251937,0.07452094,-0.028624501,0.08859464,0.053087566,-0.042844985,0.011092711,-0.0029663919,-0.093091026,-0.08850974,-0.012983691,0.114442684,-0.009886063,-0.033621892,-0.07829138,-0.07659482,-0.0077402275,-0.14046104,-0.07654689,0.035641044,-0.100100145,-0.041033674,0.06279824,0.08870077,-0.0144896135,0.12028811,-0.06290688,0.012099749,0.14555168,-0.036687512,0.012741207,0.0070143547,-0.11897449,-0.14618844,-0.06564781,-0.009684753,0.009644022,-0.04255636,-0.028551292,0.08623385,0.009454525,0.003177084,0.06333688,-0.017944202,0.047613114,-0.013677424,0.041557018,-0.083224796,0.031727564,0.14182138,-0.13759282,-0.10048737,-0.078456305,-0.116562486,-0.07975476,-0.07755096,-0.111245796,0.033639822,-0.12085563,-0.030863661,-0.20302296,-0.04992646,-0.12905766,-0.14648181,-0.07143323,0.022879094,-0.07681126,-0.06465241
i am celebrate my son birth day that time i am very happy . i give a cricket bat  to my son . my son also very happy .,i am daily morning 6:00 AM wake up on the bed next i am going to running and walking next i am drinking tea .,4.166666666666667,4.0,3.333333333333333,3.5,4.166666666666667,4.0,3.5,4.5,4.0,4.0,5.666666666666668,5.5,4.5,4.5,4.0,6.0,4.0,5.0,22,3.333333333333333,4.5,4.0,1,31,1,English,2,6,R_2q2Di8dvONGcpel,0.04486356,0.116122305,0.107552946,0.24260224,0.067515515,0.11136241,0.0240235,0.005030253,0.09325335,0.15461892,0.086648226,0.07104652,0.19535887,0.25341898,0.15429118,0.18080671,0.092598535,0.07330459,-0.012201427,0.028023938,0.1028316,-0.023017116,0.015438005,0.04292436,0.013843974,0.06704545,0.09015737,0.010290042,0.027460236,-0.00991256,0.14937893,0.12933707,0.072161615,0.18450448,0.10220031,0.05099114,0.04405364,0.059333302,0.037643675,-0.021859393,0.051870592,0.18127464,0.14574027,0.14822468,0.053926867,0.02993225,0.10883842,0.079729535,0.12262517,0.1661535,0.122399345,0.11362332,0.124042474,0.18404606,0.11042359,0.23886949,0.07685904,0.17230193,0.26479617,0.2235417,0.21112175,0.12615734,-0.03370178,-0.0007559024,0.017967049,0.068530105,0.09776308,0.05311019,-0.014135372,0.012833288,0.07201006,0.0019383505,-0.009304343,0.069021754,0.054177843,0.030115878,-0.040705957,0.02569997,0.045020737,0.16146845,0.0043811705,0.005303383,-0.026972022,0.07051374,0.028515033,-0.087517634,-0.037525125,0.08286418,-0.0145507585,0.047606938,-0.0686027,0.057015337,-0.01955057,0.016411671,-0.01272122,0.014572445,0.06504375,0.07087051
"I think the main values that guide me in my life all comes down to this old saying. Do unto others as you would have them do unto you. I try to live by this motto in nearly all my daily interactions with the people I come into contact with. If I'm driving down the road I wave at other drivers. If I'm at the grocery store or gas station I smile and am polite to the cashiers. Even at home, I try to keep the music and television at a normal volume level so as to not disturb my neighbors. I try to not gossip about other people. These are all things that I like when other people treat me this way, so I make an effort at all times to treat other people the same way.","Ok so a week ago then I suppose would have been last Friday. On Fridays I usually get up and have breakfast, check my emails, shower and get my clothes on for work. I head into work and do my daily tasks there. I work for a publishing company so much of it is just office work. However some of it is me running deliveries for any of the carriers under me that didn't get theirs done. So I get to get out of the office on a regular basis. The weekends I have off, I spend them mostly doing chores around the house and playing video games online with my friends. Monday through Thursday again are work days, so it's similar to the Friday I spoke of earlier. I'll talk more about the weekends. I like to go over to my parents house on the weekends to visit them and see some family. I try to get some rest in and sleep in.",4.5,3.6666666666666665,3.333333333333333,2.1666666666666665,2.6666666666666665,1.3333333333333333,2.6666666666666665,4.166666666666667,3.0,5.0,5.333333333333333,4.5,5.0,1.0,5.0,4.5,4.0,4.5,17,2.333333333333333,1.0,4.0,2,39,1,English,1,3,R_3CK1yMRIn3AXDPT,0.065883055,0.036717743,0.22040507,0.04520314,0.11369859,0.22559065,0.040767066,0.050039984,0.119786516,0.09880734,0.005620731,0.09346688,0.1941947,0.27957535,0.07263218,0.09862117,0.12437536,-0.023408238,-0.028853567,-0.027760472,0.019760964,0.02153219,-0.02183542,0.056660205,0.018837195,0.077320226,0.12638512,0.068538114,0.006516763,0.06312474,0.16385603,0.22225684,0.14537095,0.15162152,0.13336594,0.00770502,0.0125862565,0.03278824,-0.0090785595,-0.019369453,-0.015274696,0.2353728,0.16503584,0.046388354,0.08709128,-0.055669058,-0.011307594,-0.04273853,0.0808806,0.10557268,0.07836215,0.04703561,0.13017018,0.2456717,0.17037266,0.2030936,0.03035935,0.15424949,0.297594,0.14050907,0.14448637,0.15684894,-0.03937325,-0.10262376,-0.0761317,-0.027361657,0.019935822,-0.004666632,-0.019365894,-0.02327624,0.006500193,-0.00369451,0.021266328,0.0065049604,0.05278778,-0.09770841,0.035791293,-0.0813865,0.035038527,0.046911884,-0.09840949,-0.09266667,-0.054883655,-0.03199576,-0.08315845,-0.04951234,-0.06329982,0.13842945,0.12002785,0.02566703,-0.08512648,-0.050955817,-0.080929056,-0.027160706,-0.094742954,0.03815814,-0.07328959,-0.060339987
"I think at the center of my life is trying to enjoy the present and be my best self. I believe in the idea that I create my life, that I write the narrative. So okay, i don't always love my job but whether or not I have a good day at work rests almost entirely on how I frame my day mentallly. I try to look at the tasks I perform as enjoyable, to see the positive in them, to take note of pleasant interactions and to see unpleasant interactions as learning experiences. And my commute is long, but I try to see it as part of my day rather than as a means to get to the next part of my day, if that makes sense - try to enjoy the commute as a time to listen to an audiobook, enjoy scenery, breathe, unwind All of the things I do, It ry to see them as positives. And I also think kindness and connections to others make it easier to live like this. Realizing that I am one of many and not the only one. I work out and meditate and take care of myself with good healthy food, and still indulge in alcohol and less healthy food too - all about finding balance and bieng in the present moment.","Starting last week, which would be Saturday I guess - so Saturday I did a lot of shopping for the house, as well as clearing out the upstairs bedrooms. We cooked breakfast and then went out to dinner, Sunday was grocery shopping for the week followed by hanging the wreath and then attending the town Christmas fair, dinner at the pub. I worked from home this week, so Monday I did a lot of school work, lesson planning, grading, and also did laundry; Tuesday was the same though also on Tuesday I sorted more boxes and brought them up to the second floor, and cleaned the downstairs bathroom and mudroom. And on Wednesday I did some online Christmas shopping and after work brought mom to Costco, and then Thursday was a very busy work day with a lot of meetings, and I also attended a webinar. Also I watched some streaming tv, and did some writing and I worked out every single day.",4.333333333333333,1.0,3.0,1.8333333333333333,2.5,2.333333333333333,3.5,3.333333333333333,4.0,4.0,5.333333333333333,2.5,3.5,4.0,5.0,5.5,6.0,4.5,20,3.333333333333333,4.0,2.833333333333333,1,51,1,English,1,6,R_5aoTZWMpCU2lVBv,-0.03219703,0.011631558,0.12092887,0.012871433,0.008831253,0.17111725,-0.011544453,0.042658404,0.06360398,0.03427696,-0.09534919,0.035562105,0.21565741,0.25871542,0.080223285,0.09668148,0.09689219,-0.045221224,-0.10091331,-0.08165039,-0.0025997702,-0.010077588,-0.07009803,0.052960865,-0.0064235916,0.06856349,0.09194994,0.04259962,-0.08928777,0.014541676,0.11584583,0.12889978,0.08992861,0.0892313,0.07205273,-0.10605793,-0.016710464,-0.046569135,-0.14488706,-0.10451011,-0.08990496,0.22327587,0.06791953,0.057034258,0.03161664,-0.07809243,0.023303756,-0.124657154,0.033751503,0.117200546,-0.051842943,-0.07529014,0.18984252,0.19544408,0.070077,0.17433658,0.06028032,0.10723854,0.25611624,0.06956771,0.08833723,0.060505144,-0.025771458,-0.06400557,-0.0847065,0.019157756,-0.029222973,-0.043042846,0.041171297,0.019597588,0.021217661,-0.008991085,0.069771424,0.024310594,0.055673584,-0.029768072,0.08482939,-0.028536756,0.022806985,0.078454114,-0.1458675,-0.12331363,-0.06784704,-0.14763305,-0.07297652,-0.09249897,-0.06665906,0.13304804,0.014399776,-0.0023426125,-0.08590349,-0.078769624,-0.11911787,-0.04115928,-0.14163068,-0.033577636,-0.12118115,-0.119348526
