ValuesSurvey,BehaviorsSurvey,CARE_tot,EQUALITY_tot,PROPORTIONALITY_tot,LOYALTY_tot,AUTHORITY_tot,PURITY_tot,Individualism_tot,Collectivism_tot,PVQ_SD_tot,PVQ_PO_tot,PVQ_UN_tot,PVQ_AC_tot,PVQ_SE_tot,PVQ_ST_tot,PVQ_CO_tot,PVQ_TR_tot,PVQ_HE_tot,PVQ_BE_tot,Religiosity_tot,NFC_tot,conservatism_tot,Tightness,sex,age,religion,first_language,race,education,ResponseId
"My most important value is gotta be money, which guided me through each day's sex films.  On off-days, I get to utilize my money to buy all types of luxury items that I wanted, from jewelry to exotic clothing.  I could get certain handsome men to bed when I wanted as I am usually their idol.  With money, my pleasure can be served at highest, even better than the orgasm that I enjoyed while having my legs dangle in the air as I was being penetrated by these men.  Money is always power and safety as in value for me.","The past 7 days have been the same for me daily, as I wake up I get dressed in lingerie corset and high heels.  I then started my work as one of the best porn star in the state, and the whole day is just filming me doing sex with different people with different sex positions.
Ever other days I would cosplay to be different role either as a nurse, a teacher, or a prisoner.  It all plays out that I get topped by men and my clothing sometimes get ripped off of me.",3,2.8333333333333335,2,2.6666666666666665,2.6666666666666665,2.8333333333333335,3.3333333333333335,3.1666666666666665,3.5,4.5,3.6666666666666665,3,3.5,3.5,2.5,4,3,4,10,2.3333333333333335,3,3.5,1,27,6,English,1,2,R_1KkkZfhTa4CERDM
I think the most central and important values in my life are working hard and being consistent. I think that in my values I work hard to take care of my daughter and am committed to my family. These values have always been important to me. From a young age I learned that working hard is something that allows me to get ahead and achieve the goals I set out for myself. I think being consistent is the only way you make lifelong progress.  I use these to make difficult decisions because they give me the confidence to know I can make either decision and still come out ahead. I use these with my family to take care of them.,"In the past seven days I have gotten up and gotten my daughter ready for the day. I change her and get her dressed. We then eat breakfast together. Then I allow her to play on her own while I work. Some days I go to work so I drop her off at my moms. When I don't work we usually have an outing in the morning, we go shopping or to the park. Then we come home, eat lunch, and she watches her show while I work online. Then I put her down for her nap and work online some more. THen I get her up. If i'm working that day I pick her up. Then we play outside for a bit, then come inside and make dinner. We generally eat then take a bath. Then I read to her and she goes to sleep. Then I work online then hang out with my husband. Our outings this week consisted of going to a farm and the mall.",4,2.6666666666666665,3.1666666666666665,2.6666666666666665,2,2,3.6666666666666665,3.1666666666666665,5,4.5,5,5,4.5,4,4,4.5,3.5,5,11,3.3333333333333335,4,3.6666666666666665,1,28,1,English,1,5,R_3rZBUUbOF4Zw4Xj
"thoughts and feelings about your basic values. You might think about the types of guiding principles that you use to make difficult decisions.
that is one.",Last seven days i have completed a lot of task in my work and a lot of home think.,3,3,3.1666666666666665,3.1666666666666665,2.3333333333333335,3,4.333333333333333,4,4,4.5,4,4,4.5,5,4.5,4.5,4,4.5,18,3.3333333333333335,3.5,3.6666666666666665,2,40,1,English,2,5,R_tLOxEKwjCfxLbPP
"Family is an important value. I spend a lot of time at home with them. I also value improving myself when I have the time, including picking up new skills, trying new activities and food. Kindness is also very important to me. I like to make sure other people are happy whenever possible.","I started reading the book Persuasion. I continued reading Anna Karenina but had to return it to the library. I hung out with my niece. I bought bubble tea. I assembled a fan. I bought a Swiffer to clean the house. I used the Swiffer. I scheduled an important exam. I studied for an exam for a few hours.  I went to see Central Park, Times Square, Rockefeller Center, and Bryant Park. I saw Lion King the Musical on Broadway for the first time. I switched some classes around for the next few months.",4,3,2.1666666666666665,2.6666666666666665,2.8333333333333335,1.6666666666666667,3.1666666666666665,3.6666666666666665,4,3.5,5,3,5,4,4.5,5,4,5,19,3.1666666666666665,3,3.6666666666666665,1,25,1,Malayalam,3,5,R_diLMFqG4y4S1I9X
my partner is best in my life to come. I live very happy and more perfect reason for a my life. So cool in my life.,my friend is come my home and to share many information. So this is a best moment in this week. next my partner to give the gift and recall the information. To happy to work it. To go the shops and to buy a many things and to by for a chirstmas.,3.8333333333333335,3.5,3.5,3.1666666666666665,3.5,2.6666666666666665,4,4.833333333333333,5,5.5,5.666666666666667,6,5,6,2.5,6,4.5,3.5,16,3.8333333333333335,7,4.333333333333333,2,41,1,English,1,5,R_1N36QScxNcI6LHo
"Avoid a black and white world view. Understand that life is shades of grey, and everyone has a reason for their actions. If someone or something tries to explain a person or event in completely black and white terms and tells you ""That's the entire story!"", be suspicious.

Strive for positivity. In today's world it's extremely easy to get mired in negativity and snark. It's not healthy; find the good in life and focus on that, bring up a smile, and try to spread that positivity around. Negativity has never helped anyone.

Honor your commitments, and be honest in all dealings. Pretty straightforward.

Stay curious. Don't simply accept things at face value; not sure what's going on with an event? Research it! See something interesting? Look into it! One of the great joys of living in this time period is access to information and knowledge.

Treat others as you'd like to be treated. This one is basically straight out of the Bible, and really doesn't need much explanation. Treat others with kindness whenever possible.

Realize that you don't have the answers, but strive for knowledge.

","'-Learning to cook. REALLY LEARN. Bake bread every day. Tweak your recipe until it becomes FANTASTIC. Make yourself a hot breakfast every morning. 
-Drawing for 10 minutes/day. There are some good internet tutorials. ---Learning to write with your non-dominant hand.
-Starting a blog. Write for 1 hour/week. Or 20 minutes/day.
-Practicing public speaking. Toastmasters has great resources online. Just grab an empty room in the library and videotape yourself. 
-Learning a language - others gave some online resources for this.
-Basic programming - codeacademy and many others available to teach you online. Even if you just spend 2 hours/weekday coding, this will really set you ahead in future opportunities/jobs.
-Exercising and jogging, did this most recently today morning. I could write for hours on exercise. Take dance lessons, or go to the salsa club with free ones. I don't care what kind of dance - ballet/modern/ballroom/whatever. The key here is regular practice. When you're good, your coordination and confidence will show in everything you do.",3.6666666666666665,3.5,3.5,3.3333333333333335,3.3333333333333335,3.5,3.8333333333333335,3.8333333333333335,4,4.5,3.6666666666666665,3.5,4,4,3.5,4,3.5,4,20,4,2.5,4,2,25,1,English,3,5,R_3CNNGm8ALAvSZWy
"My basic values is to be true to myself. I want to  be a good person and behave in a good way. I want others to think highly of me. I am mindful and want to do good in the world. When making decisions, I want to do what is right and will impact others negatively the least. When I interact with others I am polite and I listen. If someone does not like me then I am still nice to them.","Last week was pretty normal for me. I got up on day 1 and drank coffee. I went to my computer and worked for 10 hours. I had lunch and dinner. Day 2 was the same. Day 3 I had a medical appointment and found out some bad news. Day 4 I woke up and played games with the family. I ate lunch but no breakfast.  Day 5 I stayed in bed all day and watched TV. My husband brought me my meals in bed. Day 6 was the same as day 5. Day seven, I woke up and started doing surveys while my husband cooked me breakfast.",4.666666666666667,2.3333333333333335,4.833333333333333,3.8333333333333335,4.333333333333333,1.5,3.6666666666666665,3,6,6,6,6,6,6,6,3.5,6,6,12,3,2,3.8333333333333335,1,49,6,English,1,6,R_2aWAMuVlidGQZqr
i am celebrate my son birth day that time i am very happy . i give a cricket bat  to my son . my son also very happy .,i am daily morning 6:00 AM wake up on the bed next i am going to running and walking next i am drinking tea .,4.166666666666667,4,3.3333333333333335,3.5,4.166666666666667,4,3.5,4.5,4,4,5.666666666666667,5.5,4.5,4.5,4,6,4,5,22,3.3333333333333335,4.5,4,1,31,1,English,2,6,R_2q2Di8dvONGcpel
"I think the main values that guide me in my life all comes down to this old saying. Do unto others as you would have them do unto you. I try to live by this motto in nearly all my daily interactions with the people I come into contact with. If I'm driving down the road I wave at other drivers. If I'm at the grocery store or gas station I smile and am polite to the cashiers. Even at home, I try to keep the music and television at a normal volume level so as to not disturb my neighbors. I try to not gossip about other people. These are all things that I like when other people treat me this way, so I make an effort at all times to treat other people the same way.","Ok so a week ago then I suppose would have been last Friday. On Fridays I usually get up and have breakfast, check my emails, shower and get my clothes on for work. I head into work and do my daily tasks there. I work for a publishing company so much of it is just office work. However some of it is me running deliveries for any of the carriers under me that didn't get theirs done. So I get to get out of the office on a regular basis. The weekends I have off, I spend them mostly doing chores around the house and playing video games online with my friends. Monday through Thursday again are work days, so it's similar to the Friday I spoke of earlier. I'll talk more about the weekends. I like to go over to my parents house on the weekends to visit them and see some family. I try to get some rest in and sleep in.",4.5,3.6666666666666665,3.3333333333333335,2.1666666666666665,2.6666666666666665,1.3333333333333333,2.6666666666666665,4.166666666666667,3,5,5.333333333333333,4.5,5,1,5,4.5,4,4.5,17,2.3333333333333335,1,4,2,39,1,English,1,3,R_3CK1yMRIn3AXDPT
"I think at the center of my life is trying to enjoy the present and be my best self. I believe in the idea that I create my life, that I write the narrative. So okay, i don't always love my job but whether or not I have a good day at work rests almost entirely on how I frame my day mentallly. I try to look at the tasks I perform as enjoyable, to see the positive in them, to take note of pleasant interactions and to see unpleasant interactions as learning experiences. And my commute is long, but I try to see it as part of my day rather than as a means to get to the next part of my day, if that makes sense - try to enjoy the commute as a time to listen to an audiobook, enjoy scenery, breathe, unwind All of the things I do, It ry to see them as positives. And I also think kindness and connections to others make it easier to live like this. Realizing that I am one of many and not the only one. I work out and meditate and take care of myself with good healthy food, and still indulge in alcohol and less healthy food too - all about finding balance and bieng in the present moment.","Starting last week, which would be Saturday I guess - so Saturday I did a lot of shopping for the house, as well as clearing out the upstairs bedrooms. We cooked breakfast and then went out to dinner, Sunday was grocery shopping for the week followed by hanging the wreath and then attending the town Christmas fair, dinner at the pub. I worked from home this week, so Monday I did a lot of school work, lesson planning, grading, and also did laundry; Tuesday was the same though also on Tuesday I sorted more boxes and brought them up to the second floor, and cleaned the downstairs bathroom and mudroom. And on Wednesday I did some online Christmas shopping and after work brought mom to Costco, and then Thursday was a very busy work day with a lot of meetings, and I also attended a webinar. Also I watched some streaming tv, and did some writing and I worked out every single day.",4.333333333333333,1,3,1.8333333333333333,2.5,2.3333333333333335,3.5,3.3333333333333335,4,4,5.333333333333333,2.5,3.5,4,5,5.5,6,4.5,20,3.3333333333333335,4,2.8333333333333335,1,51,1,English,1,6,R_5aoTZWMpCU2lVBv
